titre,description,lieu,image
"Jerusalem, 2006","Bronze, rope, wood and wool, 9 pairs of gongs, 130 cm diameter each","Installation view at Museu Es Baluard, Palma de Mallorca, Spain 2006",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/Jerusalem4.jpg
"Primary Thoughts, 2001"," Stainless steel, psychiatric couch, light and sound, 290 x 264 x 264 cm","Installation view at Is Art Something in Between?. Kunsthalle Mannheim, Mannheim, Germany 2006. Collection Museo Würth La Rioja, Spain",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/41-Mannheim.jpg
"I, You, She or He, 2006"," Stainless steel and stone, 288 x 197 x 172 cm / 280 x 266 x 240 cm / 280 x 266 x 195 cm","Collection Frederik Meijer Gardens and Sculpture Park, Grand Rapids, Michigan, USA 2008",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/29-I-you-she-or-he-Hebert2.jpg
"Song of Songs, 2005","Iron, variable dimensions","Installation view at CAC-Centro de Arte Contemporáneo, Málaga, Spain 2005",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/GK4R7168.jpg
"Song of Songs III and IV, 2004"," Glass, stainless steel and light, 220 x 90 x 81 cm each","Installation view at CAC-Málaga, Spain 2005. Collection Nasher Sculpture Center, Dallas, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/42-GK4R7154.jpg
"Silent Rain, 2003"," Iron, 8 elements of variable dimensions","Installation view at Silent Noise. The Arts Club of Chicago, Chicago, USA 2004. Collection Susan Camilli Foundation, New York, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/45-Silent%20Rain%20CH.JPG
"Sogni in Bianco e Nero?, 2003","Glass and iron, 215 x 430 x 435 cm","Installation view at Fiumi e cenere. Palazzo delle Papesse, Centro Arte Contemporanea, Siena, Italy 2004",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/43-1-7-Sogni.jpg
"Tel Aviv Man I, 2003"," Iron, 184 x 94 x 96 cm","Installation view at Fiumi e cenere. Palazzo delle Papesse, Centro Arte Contemporanea, Siena, Italy 2004. Private Collection, Lisbon, Portugal",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/44-Tel%20Aviv%20Italia.jpg
"Tattoo I, 2003"," Polyester resin, stainless steel and light, 226 x 130 x 95 cm","Installation view at Silent Noise. Massachusetts University, Amherst, USA 2004. Private Collection Aspen, Colorado, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/46-Tattoo%20I.jpg
"Crystal Rain I, 2003","Glass, stainless steel and light, 236 x 120 x 120 cm","Installation view at Crystal Rain. Galerie Lelong &amp; Co. Paris, France 2003",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/22-Crystal-rain-lelong.jpg
"Freud's Children, 2002"," Mixed media, water pump and water, 23 elements of variable dimensions","Installation view at Mario Mauroner Contemporary Art, Salzburg, Austria 2003",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/48-Freuds%20Children1%20Salzburg.jpg
"Poet's Chair, 2002","Iron, glass, plastic and light, variable x 80 x 180 cm",,https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/44%20POET%60S%20CHAIR.jpg
"Am I?, Who Why?, Life Yes? No?, 2002"," Glass and stainless steel, 264 x 160 x 160 cm each","Collection Museo Würth La Rioja, Spain",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/49-41-42-43%20c.JPEG
"El Corazón de las Palabras, 2000"," Glass, mirror, stainless steel and light, 304 x 164 x 164 cm","Collection Pérez Art Museum Miami, gift of TEGNA Inc.",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/54-El%20corazon%20de%20las%20palabras.jpg
"Lady Macbeth, The Traitor and The Porter, 2000","Glass, stainless steel and light, 231 x 89 x 90 cm each","Collection Fundación CAM, Spain and Private Collection, Italy",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/59-12-13-14-cabines.jpg
"Golden Sigh I, II and III, 1999"," Brass, wood, glass and light, 300 x 100 x 100 cm each","Installation view at Chaos-Saliva. Palacio de Velázquez-Museo Nacional Centro de Arte Reina Sofía, Madrid, Spain 2000",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/55-CHAOS-SALIVA.jpg
